Timestamp,Channel 1,Channel 2,Channel 3,Channel 4
1730768165.067125,476.5625,-441.89453125,-113.28125,180.6640625,325.1953125
1730768165.0710313,-48.828125,-581.0546875,-264.16015625,-280.76171875,144.53125
1730768165.0749376,-337.40234375,-22.4609375,-132.32421875,-336.42578125,-234.375
1730768165.0788438,133.7890625,-160.64453125,-52.24609375,104.00390625,25.87890625
1730768165.08275,415.52734375,-182.6171875,32.71484375,199.70703125,224.609375
1730768165.0866563,68.84765625,-229.4921875,-77.1484375,-186.5234375,-11.23046875
1730768165.0905626,-367.1875,-432.12890625,-215.8203125,-395.5078125,-141.6015625
1730768165.0944688,-139.6484375,-501.953125,-206.0546875,-31.25,90.8203125
1730768165.098375,355.46875,-953.61328125,-373.046875,295.41015625,572.75390625
1730768165.1022813,253.41796875,-701.66015625,-213.8671875,-9.765625,356.93359375
1730768165.1061876,-290.52734375,-64.94140625,-28.80859375,-373.046875,-271.484375
1730768165.1100938,-291.9921875,-182.12890625,-118.1640625,-165.0390625,-208.984375
1730768165.113125,270.99609375,143.06640625,90.8203125,241.69921875,-64.453125
1730768165.1170313,367.67578125,472.16796875,174.8046875,118.1640625,-130.37109375
1730768165.1209376,-191.89453125,68.359375,-50.29296875,-317.3828125,-254.8828125
1730768165.1248438,-393.06640625,-286.1328125,-163.57421875,-270.5078125,-225.5859375
1730768165.12875,126.46484375,65.4296875,62.01171875,152.83203125,-87.40234375
1730768165.1326563,430.6640625,175.78125,141.6015625,205.078125,6.34765625
1730768165.1365626,-0.9765625,-181.15234375,-36.1328125,-197.265625,-74.21875
1730768165.1404688,-411.1328125,-801.7578125,-412.109375,-289.55078125,281.25
1730768165.144375,-30.2734375,-720.21484375,-225.09765625,79.58984375,509.27734375
1730768165.1482813,458.49609375,386.71875,253.41796875,237.79296875,24.4140625
1730768165.1521876,176.26953125,314.453125,32.71484375,-133.30078125,-130.37109375
1730768165.1560938,-356.4453125,-240.72265625,-199.21875,-419.43359375,-163.0859375
1730768165.156125,-160.64453125,88.37890625,15.13671875,-131.8359375,-209.9609375
1730768165.1600313,373.046875,598.6328125,235.3515625,213.37890625,-129.39453125
1730768165.1639376,290.52734375,350.09765625,68.359375,-26.3671875,-73.73046875
1730768165.1678438,-308.10546875,-399.4140625,-198.2421875,-419.43359375,-125.9765625
1730768165.17175,-336.42578125,-274.4140625,-31.73828125,-260.7421875,-144.04296875
1730768165.1756563,236.328125,207.51953125,229.00390625,162.109375,-19.53125
1730768165.1795626,386.71875,-38.57421875,50.78125,101.5625,136.71875
1730768165.1834688,-189.94140625,-936.5234375,-450.68359375,-320.3125,422.8515625
1730768165.187375,-436.5234375,-675.29296875,-195.3125,-329.58984375,212.40234375
1730768165.1912813,119.62890625,198.73046875,265.625,106.4453125,-22.94921875
1730768165.1951876,467.28515625,74.21875,134.27734375,219.23828125,155.2734375
1730768165.1990938,63.4765625,-39.0625,79.58984375,-193.359375,-49.31640625
1730768165.203125,-355.95703125,124.51171875,133.7890625,-358.88671875,-301.26953125
1730768165.2070312,-17.08984375,305.17578125,213.37890625,17.08984375,-235.83984375
1730768165.2109375,453.61328125,118.65234375,187.98828125,285.15625,56.640625
1730768165.2148438,201.66015625,13.671875,104.00390625,-35.64453125,19.04296875
1730768165.21875,-331.0546875,74.21875,74.21875,-329.58984375,-241.69921875
1730768165.2226562,-185.546875,-19.04296875,131.8359375,-77.63671875,-139.16015625
1730768165.2265625,328.61328125,-464.35546875,-42.96875,271.484375,436.03515625
1730768165.2304688,329.58984375,-534.66796875,-99.609375,77.63671875,418.45703125
1730768165.234375,-214.84375,117.1875,137.20703125,-346.6796875,-235.83984375
1730768165.2382812,-331.54296875,-8.30078125,78.61328125,-222.16796875,-232.421875
1730768165.2421875,204.58984375,110.3515625,156.73828125,176.26953125,-50.29296875
1730768165.2460938,416.015625,330.078125,148.4375,152.34375,27.34375
1730768165.247125,-92.7734375,11.71875,1.953125,-222.16796875,-65.4296875
1730768165.2510312,-423.828125,-292.96875,-75.1953125,-260.7421875,-128.90625
1730768165.2549374,11.71875,-288.57421875,1.953125,145.5078125,42.48046875
1730768165.2588437,395.99609375,51.7578125,149.90234375,279.296875,65.91796875
1730768165.26275,9.765625,-131.8359375,13.18359375,-104.98046875,-110.3515625
1730768165.2666562,-489.2578125,-553.22265625,-279.78515625,-311.03515625,-113.28125
1730768165.2705624,-240.72265625,-1000.0,-497.55859375,39.0625,467.28515625
1730768165.2744687,283.69140625,-503.90625,-112.79296875,330.56640625,414.55078125
1730768165.278375,144.53125,368.65234375,144.53125,22.94921875,-138.18359375
1730768165.2822812,-462.890625,-140.625,-136.71875,-320.3125,-176.26953125
1730768165.2861874,-407.71484375,-161.1328125,-70.80078125,-108.3984375,-141.11328125
1730768165.2900937,174.31640625,498.53515625,187.5,264.6484375,-82.51953125
1730768165.293125,215.8203125,488.76953125,87.40234375,125.0,-82.51953125
1730768165.2970312,-366.2109375,-91.30859375,-166.9921875,-280.2734375,-160.64453125
1730768165.3009374,-522.94921875,-353.515625,-240.72265625,-204.1015625,-108.88671875
1730768165.3048437,37.109375,54.6875,-16.11328125,215.33203125,-13.671875
1730768165.30875,332.03125,458.0078125,123.046875,226.07421875,-111.328125
1730768165.3126562,-167.48046875,-409.66796875,-380.859375,-183.10546875,175.78125
1730768165.3165624,-514.16015625,-937.01171875,-502.44140625,-261.23046875,413.0859375
1730768165.3204687,-44.921875,1.46484375,19.53125,144.53125,-20.5078125
1730768165.324375,388.671875,425.29296875,93.75,341.30859375,-101.5625
1730768165.3282812,57.12890625,-139.6484375,-176.7578125,-36.1328125,29.78515625
1730768165.3321874,-451.171875,-270.5078125,-305.6640625,-288.0859375,-122.55859375
1730768165.3360937,-212.890625,165.0390625,-81.0546875,39.55078125,-221.19140625
1730768165.351125,317.87109375,269.53125,72.265625,359.86328125,-24.4140625
1730768165.3550313,195.3125,42.48046875,-157.71484375,91.30859375,-2.9296875
1730768165.3589375,-355.46875,-56.15234375,-311.5234375,-245.1171875,-193.359375
1730768165.3628438,-332.03125,-119.140625,-231.93359375,-50.29296875,-152.83203125
1730768165.36675,204.58984375,-205.56640625,-161.62109375,317.87109375,194.3359375
1730768165.3706563,310.546875,-581.54296875,-293.9453125,207.03125,428.22265625
1730768165.3745625,-214.84375,-607.91015625,-346.6796875,-196.2890625,104.98046875
1730768165.3784688,-395.99609375,-318.84765625,-261.71875,-181.640625,-100.09765625
1730768165.382375,87.40234375,-346.19140625,-258.7890625,221.6796875,116.2109375
1730768165.3862813,343.26171875,-730.46875,-370.60546875,275.87890625,379.8828125
1730768165.3901875,-81.54296875,-293.9453125,-223.14453125,-182.12890625,-14.6484375
1730768165.3940938,-468.75,75.68359375,-250.9765625,-337.40234375,-327.1484375
1730768165.412125,-105.46875,-9.27734375,-212.890625,31.73828125,-140.13671875
1730768165.4160314,355.46875,343.75,53.22265625,241.2109375,-33.69140625
1730768165.4199376,65.4296875,387.20703125,7.32421875,-120.60546875,-176.7578125
1730768165.4238439,-495.60546875,-32.71484375,-269.53125,-399.90234375,-326.66015625
1730768165.42775,-311.5234375,-165.52734375,-264.6484375,-114.74609375,-181.15234375
1730768165.4316564,251.953125,36.1328125,-12.20703125,233.3984375,79.1015625
1730768165.4355626,179.19921875,20.5078125,-27.83203125,9.765625,82.03125
1730768165.4394689,-384.27734375,-113.28125,-233.3984375,-374.0234375,-154.296875
1730768165.443375,-438.4765625,-718.75,-469.7265625,-191.40625,153.3203125
1730768165.4472814,109.375,-685.05859375,-270.99609375,211.42578125,424.31640625
1730768165.4511876,306.15234375,371.09375,133.7890625,130.37109375,-14.6484375
1730768165.4550939,-237.79296875,93.26171875,-203.125,-286.1328125,-184.5703125
1730768165.441125,-515.625,-336.9140625,-383.30078125,-300.29296875,-153.80859375
1730768165.4450312,-9.27734375,223.6328125,-28.3203125,125.9765625,-104.00390625
1730768165.4489374,352.05078125,618.1640625,160.64453125,245.1171875,-97.65625
1730768165.4528437,-78.125,-61.03515625,-225.5859375,-153.3203125,25.390625
1730768165.45675,-553.22265625,-705.078125,-476.07421875,-328.61328125,87.40234375
1730768165.4606562,-201.66015625,-226.5625,-137.20703125,21.484375,-66.89453125
1730768165.4645624,317.87109375,150.390625,65.91796875,290.0390625,70.80078125
1730768165.4684687,82.51953125,-278.3203125,-196.77734375,-17.08984375,147.94921875
1730768165.472375,-474.609375,-495.1171875,-409.1796875,-331.54296875,-54.6875
1730768165.4762812,-341.796875,-66.40625,-183.59375,-71.2890625,-144.53125
1730768165.4801874,215.8203125,186.03515625,80.56640625,290.0390625,15.13671875
1730768165.4840937,203.125,-231.93359375,-176.7578125,103.02734375,149.4140625
1730768165.502125,-402.34375,-1000.0,-646.484375,-290.0390625,375.0
1730768165.5060313,-444.3359375,-455.56640625,-303.7109375,-194.82421875,103.515625
1730768165.5099375,158.69140625,395.99609375,83.984375,210.9375,-131.8359375
1730768165.5138438,366.2109375,333.49609375,98.6328125,192.3828125,-44.921875
1730768165.51775,-127.9296875,103.02734375,-123.53515625,-235.83984375,-136.23046875
1730768165.5216563,-462.890625,-191.89453125,-327.1484375,-280.2734375,-137.6953125
1730768165.5255625,-28.80859375,-0.9765625,-57.6171875,126.46484375,-40.52734375
1730768165.5294688,351.07421875,-368.1640625,-156.25,263.671875,309.08203125
1730768165.533375,-22.4609375,-628.90625,-376.46484375,-143.5546875,247.0703125
1730768165.5372813,-481.4453125,62.5,-229.4921875,-376.953125,-256.8359375
1730768165.5411875,-201.66015625,146.97265625,-101.5625,-34.1796875,-155.2734375
1730768165.5450938,322.75390625,267.08984375,121.09375,253.90625,7.32421875
1730768165.532125,173.828125,331.54296875,33.69140625,-50.78125,-104.98046875
1730768165.5360312,-394.53125,-98.6328125,-214.35546875,-400.87890625,-117.67578125
1730768165.5399375,-324.70703125,-329.58984375,-287.109375,-189.94140625,-7.32421875
1730768165.5438437,268.5546875,-233.88671875,-105.46875,212.890625,235.3515625
1730768165.54775,303.22265625,74.70703125,35.15625,51.26953125,99.12109375
1730768165.5516562,-289.55078125,-94.7265625,-215.8203125,-366.2109375,-144.53125
1730768165.5555625,-419.43359375,-564.453125,-371.09375,-258.7890625,126.953125
1730768165.5594687,111.81640625,-176.7578125,-129.8828125,148.4375,211.42578125
1730768165.563375,391.6015625,519.53125,126.46484375,166.015625,-36.62109375
1730768165.5672812,-82.03125,395.5078125,51.7578125,-270.01953125,-220.703125
1730768165.5711875,-482.91015625,-382.32421875,-270.5078125,-355.95703125,-37.59765625
1730768165.5750937,-113.28125,-916.015625,-375.48828125,47.36328125,396.97265625
1730768165.578125,353.515625,56.640625,114.74609375,195.80078125,135.25390625
1730768165.5820312,53.22265625,435.05859375,60.546875,-180.17578125,-184.5703125
1730768165.5859375,-493.65234375,-211.9140625,-222.16796875,-413.0859375,-158.203125
1730768165.5898438,-256.34765625,-186.5234375,-44.43359375,-103.02734375,-111.328125
1730768165.59375,312.01171875,252.9296875,123.53515625,199.70703125,-25.390625
1730768165.5976562,196.77734375,169.43359375,35.64453125,-64.94140625,-28.3203125
1730768165.6015625,-443.84765625,-653.3203125,-423.828125,-418.45703125,202.1484375
1730768165.6054688,-439.94140625,-836.42578125,-433.10546875,-240.234375,336.9140625
1730768165.609375,183.59375,226.5625,123.53515625,125.9765625,-80.078125
1730768165.6132812,285.15625,479.98046875,108.3984375,7.32421875,-144.53125
1730768165.6171875,-277.83203125,-70.80078125,-190.4296875,-410.64453125,-154.78515625
1730768165.6210938,-468.75,-42.96875,-168.9453125,-394.04296875,-270.5078125
1730768165.621125,69.3359375,411.62109375,129.8828125,26.3671875,-182.6171875
1730768165.6250312,385.7421875,410.64453125,121.58203125,109.375,7.32421875
1730768165.6289375,-72.265625,40.52734375,-120.60546875,-304.19921875,-28.80859375
1730768165.6328437,-491.2109375,-197.265625,-214.84375,-443.84765625,-92.28515625
1730768165.63675,-111.81640625,-36.62109375,26.3671875,-67.3828125,32.71484375
1730768165.6406562,343.26171875,78.61328125,89.35546875,146.97265625,155.2734375
1730768165.6445625,6.34765625,-780.2734375,-391.11328125,-200.1953125,482.421875
1730768165.6484687,-530.76171875,-896.484375,-394.04296875,-492.1875,284.1796875
1730768165.652375,-290.52734375,91.796875,88.8671875,-238.76953125,-236.328125
1730768165.6562812,258.30078125,205.56640625,79.1015625,116.2109375,45.41015625
1730768165.6601875,188.4765625,-7.8125,3.41796875,-85.44921875,144.04296875
1730768165.6640937,-385.25390625,229.00390625,94.7265625,-468.75,-227.5390625
1730768165.668125,-433.59375,209.47265625,83.49609375,-316.89453125,-226.5625
1730768165.6720312,119.62890625,254.8828125,197.265625,95.703125,-47.8515625
1730768165.6759374,269.53125,399.4140625,200.68359375,32.2265625,-41.015625
1730768165.6798437,-273.92578125,168.45703125,17.578125,-380.859375,-173.33984375
1730768165.68375,-553.7109375,-68.84765625,-37.59765625,-393.5546875,-224.12109375
1730768165.6876562,-78.125,-83.984375,94.7265625,32.71484375,24.90234375
1730768165.6915624,284.66796875,8.30078125,132.32421875,149.90234375,200.1953125
1730768165.6954687,-110.3515625,102.5390625,45.41015625,-243.65234375,-85.9375
1730768165.699375,-552.734375,5.859375,-9.27734375,-413.57421875,-296.38671875
1730768165.7032812,-242.1875,-682.6171875,-239.74609375,-62.5,226.5625
1730768165.7071874,280.2734375,-543.45703125,-119.62890625,198.73046875,435.546875
1730768165.7110937,133.7890625,409.66796875,167.96875,-124.51171875,-111.81640625
1730768165.726125,-440.4296875,-35.15625,-160.64453125,-440.91796875,-228.02734375
1730768165.7300313,-330.56640625,-218.75,-142.08984375,-197.265625,-135.25390625
1730768165.7339375,256.8359375,441.40625,182.12890625,167.96875,-84.9609375
1730768165.7378438,255.859375,374.0234375,117.67578125,-30.76171875,-0.9765625
1730768165.74175,-332.51953125,-387.20703125,-299.31640625,-433.10546875,89.35546875
1730768165.7456563,-443.84765625,-834.47265625,-444.3359375,-327.1484375,212.890625
1730768165.7495625,129.8828125,-261.71875,4.39453125,79.58984375,181.15234375
1730768165.7534688,382.8125,481.4453125,193.84765625,71.77734375,-50.29296875
1730768165.757375,-145.5078125,-110.83984375,-187.01171875,-340.8203125,-24.90234375
1730768165.7612813,-470.21484375,-611.328125,-383.30078125,-395.5078125,46.38671875
1730768165.7651875,20.99609375,257.8125,76.171875,0.9765625,-122.55859375
1730768165.7690938,425.78125,566.40625,215.33203125,156.25,-84.47265625
1730768165.771125,40.0390625,-301.26953125,-234.86328125,-199.70703125,139.6484375
1730768165.7750313,-470.21484375,-898.92578125,-467.28515625,-400.390625,276.3671875
1730768165.7789376,-153.3203125,26.3671875,20.99609375,-67.87109375,0.48828125
1730768165.7828438,407.71484375,635.25390625,172.8515625,256.34765625,-54.6875
1730768165.78675,230.95703125,242.1875,-87.890625,-25.390625,-17.578125
1730768165.7906563,-369.140625,-271.97265625,-335.44921875,-375.0,-67.3828125
1730768165.7945626,-296.38671875,-265.625,-272.94921875,-146.484375,-21.484375
1730768165.7984688,276.85546875,327.1484375,7.8125,241.69921875,-50.78125
1730768165.802375,281.73828125,-242.1875,-267.578125,103.02734375,225.09765625
1730768165.8062813,-288.0859375,-741.2109375,-513.671875,-301.26953125,188.96484375
1730768165.8101876,-378.41796875,92.7734375,-214.84375,-229.98046875,-254.8828125
1730768165.8140938,155.76171875,287.109375,-65.91796875,187.98828125,-118.65234375
1730768165.832125,418.45703125,267.08984375,34.66796875,221.6796875,20.01953125
1730768165.8360312,-66.40625,194.82421875,-130.859375,-197.75390625,-143.06640625
1730768165.8399374,-432.12890625,-145.99609375,-312.5,-277.34375,-189.453125
1730768165.8438437,-24.90234375,-246.58203125,-245.1171875,121.09375,53.7109375
1730768165.84775,351.07421875,-550.29296875,-284.66796875,279.296875,390.13671875
1730768165.8516562,42.96875,-522.4609375,-275.390625,-82.03125,290.0390625
1730768165.8555624,-420.41015625,-212.890625,-269.04296875,-319.3359375,-43.9453125
1730768165.8594687,-167.48046875,-356.4453125,-326.171875,-8.30078125,59.08203125
1730768165.863375,347.16796875,-470.703125,-277.83203125,313.4765625,342.28515625
1730768165.8672812,247.55859375,150.87890625,-9.27734375,55.6640625,31.73828125
1730768165.8711874,-321.2890625,255.859375,-148.92578125,-311.5234375,-287.109375
1730768165.8750937,-320.80078125,-90.33203125,-219.23828125,-138.18359375,-166.015625
1730768165.863125,253.41796875,280.76171875,41.015625,253.41796875,-67.87109375
1730768165.8670313,386.71875,601.07421875,115.234375,155.76171875,-148.4375
1730768165.8709376,-166.50390625,193.359375,-167.96875,-268.06640625,-250.48828125
1730768165.8748438,-395.5078125,-171.38671875,-274.4140625,-252.44140625,-211.9140625
1730768165.87875,125.9765625,54.6875,23.4375,174.8046875,-72.75390625
1730768165.8826563,429.6875,245.60546875,113.76953125,253.90625,45.8984375
1730768165.8865626,-25.87890625,-129.39453125,-152.83203125,-138.671875,108.88671875
1730768165.8904688,-441.89453125,-530.2734375,-331.0546875,-265.625,13.18359375
1730768165.894375,-56.15234375,-37.109375,-42.48046875,110.83984375,-111.328125
1730768165.8982813,416.9921875,434.08203125,150.87890625,346.19140625,-68.359375
1730768165.9021876,164.55078125,229.4921875,-37.109375,13.671875,-160.15625
1730768165.9060938,-407.71484375,-692.3828125,-488.76953125,-249.51171875,128.90625
1730768165.906125,-250.9765625,-697.75390625,-320.3125,23.4375,333.984375
1730768165.9100313,352.05078125,475.09765625,217.7734375,339.35546875,-32.2265625
1730768165.9139376,296.875,400.87890625,37.109375,126.953125,-41.50390625
1730768165.9178438,-296.875,-319.3359375,-285.15625,-250.9765625,-35.64453125
1730768165.92175,-338.8671875,-234.86328125,-202.1484375,-128.41796875,-166.50390625
1730768165.9256563,219.23828125,211.42578125,87.40234375,278.80859375,22.94921875
1730768165.9295626,358.3984375,-41.9921875,-51.26953125,220.703125,166.50390625
1730768165.9334688,-218.75,-918.9453125,-575.1953125,-194.3359375,492.1875
1730768165.937375,-477.5390625,-819.82421875,-431.15234375,-210.44921875,443.359375
1730768165.9412813,59.5703125,253.41796875,99.12109375,181.15234375,-96.19140625
1730768165.9451876,411.62109375,462.40234375,152.83203125,295.8984375,-84.9609375
1730768165.9490938,3.90625,161.62109375,1.46484375,-109.375,-164.0625
1730768165.953125,-429.19921875,187.01171875,1.46484375,-288.0859375,-296.875
1730768165.9570312,-93.75,364.2578125,118.1640625,68.84765625,-175.29296875
1730768165.9609375,404.78515625,430.17578125,193.84765625,320.3125,-13.18359375
1730768165.9648438,178.22265625,340.33203125,107.421875,5.37109375,-80.078125
1730768165.96875,-389.16015625,103.02734375,-57.12890625,-297.8515625,-247.0703125
1730768165.9726562,-274.4140625,32.2265625,29.78515625,-44.921875,-161.62109375
1730768165.9765625,240.234375,-417.48046875,-104.00390625,318.84765625,375.0
1730768165.9804688,236.81640625,-539.55078125,-184.5703125,119.62890625,350.09765625
1730768165.984375,-265.13671875,149.4140625,66.89453125,-268.06640625,-235.3515625
1730768165.9882812,-361.328125,54.19921875,8.30078125,-134.765625,-152.34375
1730768165.9921875,156.25,40.0390625,79.58984375,263.671875,129.39453125
1730768165.9960938,375.48828125,443.84765625,164.0625,225.09765625,25.390625
1730768165.996125,-88.8671875,393.5546875,72.75390625,-184.5703125,-214.84375
1730768166.0000312,-395.5078125,-95.21484375,-88.8671875,-205.078125,-181.15234375
1730768166.0039375,6.8359375,-69.82421875,-48.828125,193.84765625,19.53125
1730768166.0078437,375.9765625,245.60546875,85.9375,305.6640625,30.76171875
1730768166.01175,25.390625,64.453125,-133.30078125,-90.33203125,-96.6796875
1730768166.0156562,-463.37890625,-350.5859375,-465.33203125,-297.36328125,20.99609375
1730768166.0195625,-230.46875,-1000.0,-671.875,49.31640625,562.98828125
1730768166.0234687,317.3828125,-523.4375,-254.39453125,325.68359375,440.91796875
1730768166.027375,205.56640625,397.4609375,-87.40234375,17.08984375,-128.41796875
1730768166.0312812,-387.20703125,-109.375,-406.25,-322.265625,-187.5
1730768166.0351875,-317.87109375,-171.38671875,-325.1953125,-105.46875,-152.83203125
1730768166.0390937,266.6015625,497.0703125,-13.671875,283.203125,-118.1640625
1730768166.056125,325.1953125,435.05859375,-49.31640625,147.94921875,-58.10546875
1730768166.0600312,-258.7890625,-420.8984375,-386.71875,-239.74609375,77.1484375
1730768166.0639374,-421.875,-440.4296875,-306.640625,-177.734375,-22.94921875
1730768166.0678437,123.53515625,364.74609375,14.6484375,217.28515625,-168.9453125
1730768166.07175,387.6953125,496.58203125,70.80078125,243.65234375,-103.02734375
1730768166.0756562,-97.16796875,-155.76171875,-248.53515625,-163.0859375,-86.42578125
1730768166.0795624,-469.23828125,-585.9375,-356.4453125,-270.5078125,-104.98046875
1730768166.0834687,-26.85546875,22.4609375,-50.78125,120.1171875,-99.609375
1730768166.087375,405.76171875,449.21875,105.95703125,304.6875,-48.33984375
1730768166.0912812,57.6171875,-66.40625,-140.13671875,-72.75390625,0.48828125
1730768166.0951874,-448.73046875,-213.37890625,-283.69140625,-309.5703125,-122.0703125
1730768166.0990937,-194.3359375,204.1015625,-57.6171875,-5.859375,-176.7578125
1730768166.101125,352.05078125,371.09375,97.65625,297.8515625,-15.13671875
1730768166.1050313,231.4453125,-372.55859375,-182.12890625,56.15234375,234.86328125
1730768166.1089375,-344.7265625,-475.09765625,-268.5546875,-297.36328125,36.62109375
1730768166.1128438,-318.359375,-113.76953125,-154.296875,-101.07421875,-157.71484375
1730768166.11675,214.35546875,-197.75390625,-87.40234375,305.17578125,177.734375
1730768166.1206563,265.625,-605.46875,-239.74609375,192.3828125,446.77734375
1730768166.1245625,-259.27734375,-618.1640625,-259.765625,-230.95703125,117.1875
1730768166.1284688,-442.87109375,-216.796875,-145.99609375,-199.70703125,-185.05859375
1730768166.132375,57.6171875,-225.09765625,-130.859375,220.21484375,82.03125
1730768166.1362813,361.81640625,-449.21875,-229.4921875,290.52734375,325.1953125
1730768166.1401875,-46.875,-39.55078125,-53.22265625,-132.8125,-79.1015625
1730768166.1440938,-449.21875,152.83203125,-7.32421875,-269.04296875,-308.10546875
1730768166.147125,-93.26171875,50.29296875,8.30078125,112.3046875,-110.3515625
1730768166.1510313,386.23046875,408.203125,142.08984375,330.078125,-13.671875
1730768166.1549375,139.16015625,507.32421875,94.23828125,1.953125,-118.1640625
1730768166.1588438,-427.734375,93.26171875,-151.3671875,-286.1328125,-239.74609375
1730768166.16275,-214.35546875,-58.59375,-125.48828125,4.39453125,-83.49609375
1730768166.1666563,308.10546875,105.46875,98.6328125,303.7109375,170.41015625
1730768166.1705625,177.734375,53.7109375,40.52734375,46.38671875,159.1796875
1730768166.1744688,-314.453125,-149.90234375,-120.60546875,-267.08984375,20.5078125
1730768166.178375,-391.6015625,-747.55859375,-406.25,-119.140625,227.05078125
1730768166.1822813,145.99609375,-677.24609375,-196.2890625,271.97265625,403.3203125
1730768166.1861875,368.65234375,383.30078125,199.70703125,200.68359375,-28.3203125
1730768166.1900938,-144.04296875,198.2421875,-108.3984375,-206.0546875,-221.19140625
1730768166.191125,-412.59765625,-228.515625,-264.16015625,-221.19140625,-195.3125
1730768166.1950312,73.73046875,283.69140625,45.8984375,181.640625,-160.15625
1730768166.1989374,405.2734375,642.08984375,226.5625,278.80859375,-138.18359375
1730768166.2028437,-8.30078125,-0.9765625,-115.234375,-116.69921875,-12.20703125
1730768166.20675,-440.91796875,-602.5390625,-382.32421875,-303.7109375,99.12109375
1730768166.2106562,-91.30859375,-149.4140625,-32.71484375,0.0,-3.41796875
1730768166.2145624,416.50390625,235.83984375,185.546875,251.953125,45.8984375
1730768166.2184687,191.89453125,-122.0703125,-103.515625,-45.8984375,56.640625
1730768166.222375,-417.48046875,-1000.0,-603.02734375,-329.1015625,447.75390625
1730768166.2262812,-289.0625,-574.21875,-245.60546875,-81.0546875,334.9609375
1730768166.2301874,327.1484375,571.77734375,242.1875,272.94921875,-125.9765625
1730768166.2340937,315.4296875,399.4140625,97.65625,97.16796875,-74.21875
1730768166.238125,-250.9765625,21.97265625,-31.25,-295.8984375,-175.29296875
1730768166.2420313,-346.19140625,192.3828125,42.96875,-191.89453125,-285.15625
1730768166.2459376,197.265625,452.63671875,146.484375,232.91015625,-163.0859375
1730768166.2498438,416.015625,380.37109375,139.16015625,221.19140625,-76.171875
1730768166.25375,-87.40234375,82.03125,-16.6015625,-213.8671875,-208.984375
1730768166.2576563,-421.875,-210.44921875,-196.77734375,-260.25390625,-209.47265625
1730768166.2615626,20.5078125,56.640625,49.31640625,145.5078125,-78.125
1730768166.2654688,390.625,-284.1796875,-86.9140625,304.6875,323.2421875
1730768166.269375,39.0625,-617.67578125,-330.078125,-64.94140625,272.94921875
1730768166.2732813,-397.4609375,103.515625,-90.33203125,-291.015625,-236.81640625
1730768166.2771876,-143.06640625,148.92578125,12.20703125,34.1796875,-128.90625
1730768166.2810938,355.95703125,106.4453125,99.12109375,333.0078125,115.234375
1730768166.281125,216.796875,328.61328125,89.35546875,41.9921875,-36.62109375
1730768166.2850313,-350.09765625,228.02734375,-85.44921875,-323.73046875,-281.25
1730768166.2889376,-306.640625,-54.6875,-202.1484375,-121.09375,-169.43359375
1730768166.2928438,243.65234375,-85.9375,-41.015625,288.0859375,129.8828125
1730768166.29675,283.69140625,170.8984375,76.171875,141.11328125,29.296875
1730768166.3006563,-280.76171875,-109.86328125,-154.78515625,-279.78515625,-75.1953125
1730768166.3045626,-458.0078125,-444.3359375,-300.78125,-197.75390625,55.17578125
1730768166.3084688,0.9765625,-953.61328125,-414.0625,215.8203125,481.93359375
1730768166.312375,288.57421875,-473.6328125,-113.28125,221.19140625,381.34765625
1730768166.3162813,-133.7890625,210.44921875,49.31640625,-212.890625,-121.09375
1730768166.3201876,-519.53125,-255.859375,-185.05859375,-315.4296875,-138.18359375
1730768166.3240938,-114.74609375,83.0078125,23.92578125,77.63671875,-105.95703125
1730768166.329125,323.2421875,684.5703125,232.421875,278.3203125,-93.75
1730768166.3330312,4.8828125,395.01953125,29.296875,-87.40234375,-76.66015625
1730768166.3369374,-552.734375,-464.84375,-275.390625,-339.35546875,41.50390625
1730768166.3408437,-339.35546875,-215.8203125,-47.36328125,-24.4140625,20.01953125
1730768166.34475,208.0078125,590.8203125,195.3125,287.109375,-18.5546875
1730768166.3486562,94.23828125,316.89453125,59.08203125,40.52734375,56.15234375
