Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Delta - Channel 1,Delta - Channel 2,Delta - Channel 3,Delta - Channel 4,Theta - Channel 1,Theta - Channel 2,Theta - Channel 3,Theta - Channel 4,Alpha - Channel 1,Alpha - Channel 2,Alpha - Channel 3,Alpha - Channel 4,Beta - Channel 1,Beta - Channel 2,Beta - Channel 3,Beta - Channel 4
1730770408.1594687,48.828125,-105.46875,-89.35546875,-29.296875,220.703125,8.161838910758585e-05,-0.00017629572047238545,-0.0001493616520668821,-4.897103346455151e-05,0.00025015654137782714,-0.0005403381293761066,-0.00045778647072142366,-0.00015009392482669628,0.0005924967317295061,-0.0012797929405357331,-0.0010842690190649962,-0.00035549803903770367,0.0565930142579945,-0.1222409107972681,-0.10356521609212993,-0.0339558085547967
1730770408.6872811,38.57421875,-16.11328125,-74.21875,-18.5546875,330.078125,6.447852739499282e-05,-2.693406840550333e-05,-0.0001240599514435305,-3.1014987860882625e-05,0.00019762366768848343,-8.255165865468295e-05,-0.0003802379428942972,-9.50594857235743e-05,0.0004680724180663098,-0.000195523921470737,-0.0009005950322288493,-0.00022514875805721232,0.04470848126381565,-0.018675694705138184,-0.08602138167215163,-0.02150534541803791
1730770409.206125,31.73828125,-77.1484375,-69.3359375,-8.30078125,-165.0390625,5.305195291993081e-05,-0.00012895705478998564,-0.00011589811253277191,-1.3875126148289595e-05,0.00016260175189558763,-0.00039524733537696686,-0.0003552222887565145,-4.2526612034230614e-05,0.00038512287562417896,-0.0009361448361326196,-0.0008413453590558986,-0.00010072444439401603,0.03678545926769642,-0.0894169625276313,-0.08036208024635218,-0.009620812423859064
1730770409.7399375,-5.37109375,-110.3515625,-95.21484375,-49.31640625,-183.10546875,-8.978022801834444e-06,-0.00018445755938314404,-0.0001591558587597924,-8.24345729986617e-05,-2.7517219551560984e-05,-0.0005653537835138893,-0.0004878052556867629,-0.0002526581067916054,-6.517464049024566e-05,-0.0013390426137086838,-0.0011553686268725369,-0.0005984216990468012,-0.006225231568379394,-0.12790021222306755,-0.11035637780308927,-0.05715894440057444
1730770410.2312813,65.4296875,-124.0234375,-55.17578125,-7.8125,-31.25,0.00010936864140416504,-0.00020731070833326806,-9.222877969157202e-05,-1.3058942257213736e-05,0.0003352097654462883,-0.0006353976150996809,-0.00028267689175694464,-4.002504662045234e-05,0.0007939456205175382,-0.0015049416985929455,-0.0006695213068543419,-9.479947707672097e-05,0.07583463910571263,-0.143746256215306,-0.06395010611153377,-0.00905488228127912
1730770410.7210937,-57.12890625,-123.53515625,-67.87109375,-50.78125,109.86328125,-9.549351525587544e-05,-0.00020649452444219222,-0.00011344956085954433,-8.488312467188929e-05,-0.00029268315341205776,-0.0006328960496859026,-0.0003477175925151797,-0.0002601628030329402,-0.0006932211761235221,-0.0014990167312756504,-0.0008235704571040134,-0.0006161966009986863,-0.06621382668185356,-0.14318032607272607,-0.07866428981861234,-0.05885673482831427
1730770411.1770313,-6.34765625,-108.3984375,-64.453125,-41.9921875,97.16796875,-1.0610390583986161e-05,-0.0001811928238188406,-0.00010773627362201333,-7.019181463252384e-05,-3.2520350379117525e-05,-0.0005553475218587762,-0.0003302066346187318,-0.00021513462558493131,-7.702457512483579e-05,-0.0013153427444395035,-0.000782095685882948,-0.0005095471892873752,-0.007357091853539284,-0.1256364916527478,-0.07470277882055273,-0.04866999226187527
1730770411.6739376,-99.12109375,-117.1875,-45.41015625,-68.359375,-214.84375,-0.00016568532988839928,-0.00019588413385820605,-7.590510187005484e-05,-0.0001142657447506202,-0.000507817778996989,-0.0006003756993067851,-0.00023264558348137923,-0.00035021915792895797,-0.0012027683654108974,-0.0014219921561508147,-0.0005510219605084406,-0.0008294954244213085,-0.11488381894372883,-0.1358232342191868,-0.05263150325993488,-0.0792302199611923
1730770412.1428437,29.296875,-42.96875,-65.4296875,-32.71484375,66.89453125,4.897103346455151e-05,-7.182418241467555e-05,-0.00010936864140416504,-5.468432070208252e-05,0.00015009392482669628,-0.00022013775641248787,-0.0003352097654462883,-0.00016760488272314416,0.00035549803903770367,-0.0005213971239219653,-0.0007939456205175382,-0.0003969728102587691,0.0339558085547967,-0.049801852547035154,-0.07583463910571263,-0.037917319552856314
1730770412.59675,-62.01171875,-74.70703125,-65.4296875,-62.5,-184.08203125,-0.00010365535416663403,-0.00012487613533460634,-0.00010936864140416504,-0.00010447153805770989,-0.00031769880754984047,-0.0003827395083080755,-0.0003352097654462883,-0.00032020037296361873,-0.0007524708492964728,-0.0009065199995461443,-0.0007939456205175382,-0.0007583958166137677,-0.071873128107653,-0.08658731181473157,-0.07583463910571263,-0.07243905825023296
